az	bedatum	javdatum	helyaz	szereloaz	munkaora	anyagar
1	2001.05.28	2001.05.31	163	5	2	3721
2	2001.02.26	2001.03.02	96	3	3	1432
3	2001.03.19	2001.03.22	242	6	3	3016
4	2001.05.14	2001.05.16	452	2	3	1434
5	2001.05.24	2001.05.26	171	2	2	2666
6	2001.04.11	2001.04.14	391	6	1	901
7	2001.08.29	2001.08.30	114	4	1	3498
8	2001.07.07	2001.07.09	488	5	3	5186
9	2001.09.11	2001.09.15	308	5	1	4377
10	2001.08.30	2001.08.31	327	2	1	2962
11	2001.12.19	2001.12.22	59	4	3	3185
12	2001.09.14	2001.09.15	393	5	3	3756
13	2001.10.11	2001.10.14	401	4	1	2894
14	2001.04.13	2001.04.13	190	4	1	4259
15	2001.05.20	2001.05.23	45	6	3	1636
16	2001.01.29	2001.01.31	372	3	1	2250
17	2001.12.21	2001.12.24	169	6	1	5085
18	2002.01.08	2002.01.10	216	2	2	2023
19	2001.11.13	2001.11.13	430	1	3	5407
20	2001.10.22	2001.10.22	100	3	1	1255
21	2001.01.19	2001.01.20	366	2	1	1788
22	2001.12.22	2001.12.23	355	2	1	713
23	2001.04.12	2001.04.15	135	5	3	4308
24	2001.09.07	2001.09.07	279	5	1	1023
25	2002.01.22	2002.01.26	221	3	1	1130
26	2002.01.30	2002.02.03	35	6	1	1022
27	2001.10.02	2001.10.04	445	5	1	1155
28	2001.02.19	2001.02.22	271	1	1	2378
29	2001.08.26	2001.08.30	412	1	1	2938
30	2001.03.19	2001.03.22	484	5	1	3366
31	2001.02.20	2001.02.22	430	5	2	1567
32	2001.05.07	2001.05.10	245	1	1	1730
33	2001.12.03	2001.12.06	313	4	2	3489
34	2001.08.27	2001.08.27	462	6	1	4930
35	2001.07.21	2001.07.25	214	3	2	1172
36	2001.12.15	2001.12.16	411	5	1	3928
37	2001.11.06	2001.11.10	194	5	3	5491
38	2001.01.28	2001.01.30	175	4	1	4733
39	2001.09.05	2001.09.08	143	1	3	4853
40	2001.11.30	2001.12.01	279	6	1	1520
41	2001.02.16	2001.02.18	150	6	2	3427
42	2001.08.31	2001.09.02	470	6	1	3859
